metabolite	mz_neutral	name	empCpd	Feature_ID	ion_relation		DmPA_Lucas_cellmedia_IV4	DmPA_Lucas_cellmedia_IV5	DmPA_Lucas_cellmedia_IV6	DmPA_Lucas_cellmedia_IV10	DmPA_Lucas_cellmedia_IV11	DmPA_Lucas_cellmedia_IV12	DmPA_Lucas_cellmedia_IV22	DmPA_Lucas_cellmedia_IV23	DmPA_Lucas_cellmedia_IV24	DmPA_Lucas_cellmedia_IV34	DmPA_Lucas_cellmedia_IV35	DmPA_Lucas_cellmedia_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
C00016	785.1571	Flavin adenine dinucleotide oxidized	kp10209_785.1574	F31326	M0,HCl, 2x charged	8712	23.780161579676037	23.72871955927279	23.851167732657466	23.18051640838172	23.3445144528997	23.927826801149305	23.850215291585577	23.575736895329356	24.280462273795067	23.66603310068495	23.490041171646546	24.40950710333555	F31326	411.3217	585.68	1067	0.2577502491133205	0.4080301080237747	0.3655533326107152	0.6320597558933697	0.31313926040591045	0.8999358643840272
C00016	785.1571	Flavin adenine dinucleotide oxidized	kp10209_785.1574	F32398	M0,M+H+, 2x charged	
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F69471	13C/12C*5,ACN	
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F64377	M0,ACN	18327	17.835420072751408	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	15.513516651570258	F64377	480.2131	397.38	171	0.34343639613791366	0.34343639613791643		0.42264973081037494	0.42264973081037494	
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F67612	13C/12C*3,ACN	19349	21.948324038549963	16.56720172163785	23.2889116562352	19.46524248273839	20.560699983627785	23.06099514178542	23.376255280732934	23.23819540061328	16.56720172163785	22.32102317703079	22.827327704863688	23.180493128475657	F67612	483.2239	399.61	612	0.4918908172277161	0.5040419390000503	0.23875942132807934	0.8874904232640302	0.8651612433833026	0.5255003559186097
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F50126	13C/12C*5,Na/H	13993	25.564968829318477	25.84503846601563	25.18943034613412	24.55015293162459	18.00221563179364	18.00221563179364	25.262996211586277	25.290943853213665	26.09953064545565	18.00221563179364	24.420575201880663	24.841111219058057	F50126	466.1836	398.29	389	0.4770406351429096	0.02104890155176326	0.5116162551923835	0.9598397561857573	0.13285392480431857	0.2921026422949839
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F52400	13C/12C*6,M+H+	14685	24.635577019599108	25.11728153993405	24.555054846887348	23.3360385820702	25.262725993542496	23.97388315318105	24.44127673994116	24.531827680678635	25.14204507091691	23.733369065391365	23.61339727532173	24.17735692161117	F52400	445.2049	397.11	154	0.524771362914948	0.04653507822582543	0.6065559652593971	0.8311583543601804	0.41796080873689107	0.03932126309929022
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F68672	13C/12C*4,ACN	19643	15.70325483771117	20.508905007820445	21.154967792159823	15.70325483771117	15.70325483771117	19.34363755249804	19.98923515615632	19.54654947944363	20.632033979470638	18.025161299583782	19.45678072135849	21.06887616630852	F68672	484.2264	399.21	73	0.14926098273695945	0.2517377038623401	0.16462352889079737	0.6437895728579078	0.35991998644946294	0.6115490230971193
C00122	438.17912795726534	Fumarate_dmpa*2	kp2975_438.1782	F51354	13C/12C*5,M+H+	14366	26.961791987926063	27.265918947611127	26.607765705878798	26.780765645045925	27.898770098780023	26.482721805970417	26.56174581257032	26.58078647660408	27.518177119242445	26.075169853575176	25.991339547082674	26.387694801211914	F51354	444.2014	397.51	14	0.15250729908327443	0.3347699803075351	0.16378286718226787	0.883631909126193	0.8332660677826909	0.1325865026161417
C00122	438.17912795726534	Fumarate_dmpa*2	kp3472_438.179	F46220	M0,M+H+	12793	27.508322594665295	31.005986992200828	29.770597752323265	33.496436414892706	33.803229536520924	30.097431584173183	27.81952050908937	27.893070230672585	31.05507481503155	29.06915466979821	28.565293325062434	29.859772570157816	F46220	439.1865	437.82	35	0.09588860108194082	0.1436157772147206	0.09747697831655336	0.7495525355078942	0.12633157156831207	0.8467402823986594
C00122	438.17912795726534	Fumarate_dmpa*2	kp3472_438.179	F44366	M0,Na/H	12259	22.002057258227367	26.362199574388743	25.617694708699688	28.875250616511305	29.061008022489546	19.68013053724	19.68013053724	23.940796416728983	19.68013053724	19.68013053724	19.68013053724	19.68013053724	F44366	461.1688	437.95	775	0.022964177323452246	0.9545654164793758	0.18354423971040912	0.14321808971187275	0.7456784135382831	0.42264973081037427
C00122	438.17912795726534	Fumarate_dmpa*2	kp3472_438.179	F48386	13C/12C*2,M+H+	13448	17.304851646247286	26.14010333932171	24.626386909400495	28.72150538107026	29.170587305805025	24.790811914866165	22.282775184576284	21.64642350987657	26.071723867648377	20.823988246957214	22.816522960118576	17.304851646247286	F48386	441.1918	437.95	5372	0.16665665929421997	0.6828835731798755	0.028088331207427774	0.8470338430499482	0.21072426713895775	0.22960250299646598
C00122	438.17912795726534	Fumarate_dmpa*2	kp3472_438.179	F47277	13C/12C,M+H+	13096	24.62054128680067	28.9794568469136	27.797148058850503	31.57819687605673	21.065437033237256	28.136944850394496	25.75676019419679	25.391290376318143	29.071989589014247	26.807318220549043	26.35003982707935	27.70291613108586	F47277	440.1898	437.82	1123	0.9160860116606571	0.9981863913792199	0.993957340543806	0.8337489886946403	0.9554479496518009	0.8761703919761393
C00122	438.17912795726534	Fumarate_dmpa*2	kp3472_438.179	F61926	13C/12C,K/H	
C00122	438.17912795726534	Fumarate_dmpa*2	kp3472_438.179	F45371	13C/12C,Na/H	12561	19.780450713379796	23.759771746121142	19.780450713379796	26.69054618986797	27.041861314472587	19.780450713379796	19.780450713379796	19.780450713379796	24.043243613459584	22.621446662753968	19.780450713379796	19.780450713379796	F45371	462.1718	438.08	18850	0.29127747255544173	0.3966148288025939	0.24700931191535405	0.9635705619582929	0.29516680045707405	0.7970354737061577
C00417	496.18452795726535	cis-Aconitate; cis-Aconitic acid_dmpa*2	kp7990_496.186	F70883	M0,ACN	20246	16.169629908781282	16.169629908781282	18.527645911872188	16.169629908781282	16.169629908781282	16.169629908781282	16.169629908781282	16.169629908781282	16.169629908781282	16.169629908781282	16.169629908781282	16.169629908781282	F70883	538.2197	458.17	10	0.34343639613791466	0.343436396137916		0.4226497308103754	0.4226497308103754	
C00417	496.18452795726535	cis-Aconitate; cis-Aconitic acid_dmpa*2	kp7990_496.186	F54403	M0,M+H+	15260	15.76373824196866	15.76373824196866	15.76373824196866	15.76373824196866	15.76373824196866	15.76373824196866	15.76373824196866	18.085645592039707	15.76373824196866	15.76373824196866	15.76373824196866	15.76373824196866	F54403	497.1934	459.22	4	0.34343639613791194	0.34343639613791455		0.42264973081037427		0.42264973081037427
